"pathway","pval","padj","log2err","ES","NES","size","TERM"
"GO:0033619",0.225626740947075,0.493769869909873,0.103958471559957,0.60050683311755,1.22728547367113,10,"membrane protein proteolysis"
"GO:0061014",0.225981055480379,0.494016339467267,0.102080107662747,0.572770549141626,1.22151045642133,12,"positive regulation of mRNA catabolic process"
"GO:0006631",0.227820372398686,0.497505172203967,0.0891647117820678,0.41876345830303,1.17299299653554,62,"fatty acid metabolic process"
"GO:0043249",0.228136882129278,0.497664660696097,0.181383128498408,-0.469879731960519,-1.22101530348545,12,"erythrocyte maturation"
"GO:0019079",0.228687415426252,0.498333770928847,0.101350743797099,0.571650712154551,1.21912225299284,12,"viral genome replication"
"GO:2001224",0.230053191489362,0.500776063263318,0.0999276973731092,0.563352440221298,1.22752050959026,13,"positive regulation of neuron migration"
"GO:0022409",0.232394366197183,0.503192886130341,0.172324344900946,-0.496636692862654,-1.22122690928589,10,"positive regulation of cell-cell adhesion"
"GO:0050829",0.231707317073171,0.503192886130341,0.231126709673834,-0.356003303625336,-1.17080486118545,30,"defense response to Gram-negative bacterium"
"GO:0050871",0.231939163498099,0.503192886130341,0.179782316298324,-0.460188610929351,-1.19583224858412,12,"positive regulation of B cell activation"
"GO:0070306",0.232394366197183,0.503192886130341,0.172324344900946,-0.495188674411724,-1.21766623984114,10,"lens fiber cell differentiation"
"GO:1903358",0.232,0.503192886130341,0.184706471207739,-0.456271615835597,-1.19717643519622,13,"regulation of Golgi organization"
"GO:0051443",0.233082706766917,0.504149262043999,0.0956031492204301,0.515594329120703,1.20585939041984,19,"positive regulation of ubiquitin-protein transferase activity"
"GO:0002053",0.2336578581363,0.504859050772302,0.101713902282311,0.586264525203624,1.21965666067109,11,"positive regulation of mesenchymal cell proliferation"
"GO:0006635",0.23469387755102,0.506075765113408,0.0894366833718621,0.44566121510111,1.18709587442212,40,"fatty acid beta-oxidation"
"GO:0018107",0.23471615720524,0.506075765113408,0.0873098257637931,0.418817799598954,1.1697605404014,60,"peptidyl-threonine phosphorylation"
"GO:0010801",0.235294117647059,0.50625386996904,0.09754492162472,0.532781946091612,1.21145391614221,16,"negative regulation of peptidyl-threonine phosphorylation"
"GO:0042311",0.235294117647059,0.50625386996904,0.204294756516886,-0.400019847277174,-1.17044232630651,19,"vasodilation"
"GO:0006487",0.235690235690236,0.506572914564502,0.0886261133285098,0.438569294195885,1.17910361293824,45,"protein N-linked glycosylation"
"GO:0010954",0.238161559888579,0.509740553311263,0.100633389423036,0.595582997398436,1.2172223874254,10,"positive regulation of protein processing"
"GO:0032515",0.237467018469657,0.509740553311263,0.09754492162472,0.55033406585754,1.2156590271357,14,"negative regulation of phosphoprotein phosphatase activity"
